,hist_window,test_window,strategy,mean,vol,max_dd,abs_mean,DROP
0,60,2,"(2, 3)",-0.5668603770879703,3.039006606790172,-18.975234652158623,0.5668603770879703,-29.449422982701794
1,60,2,"(2, 10)",-0.06507617661442122,0.8033805515139862,-1.7883156993753624,0.06507617661442122,-4.8883112691195105
2,60,2,"(2, 30)",0.21221214792018706,1.7412731479475456,-14.364740890566338,0.21221214792018706,-15.09144006953143
3,60,2,"(3, 10)",-0.09176253818618879,0.5844337083838347,-1.359175552203184,0.09176253818618879,-4.272906687450945
4,60,2,"(3, 30)",0.1343899220842536,1.1835463958336194,-8.131600257072584,0.1343899220842536,-8.220406126671572
5,60,2,"(2, 3, 10)",-0.12168202218826529,0.2359489904147356,-3.087807627059274,0.12168202218826529,-5.389835621415173
6,60,2,"(2, 3, 30)",-0.016795335475346063,0.36455707354537226,-9.709081971583078,0.016795335475346063,-16.740479453582886
7,60,2,"(2, 10, 30)",-0.2549251898840752,0.341366174474794,-1.6680494736136176,0.2549251898840752,-3.9207313199586986
8,60,2,"(3, 10, 30)",-0.22194384091554686,0.30564632247274337,-1.2864414844543735,0.22194384091554686,-3.467152264617096
9,60,2,"(2, 3, 10, 30)",-0.20484943237460945,0.14144839123641723,-2.293182985407568,0.20484943237460945,-5.98547563782817
10,90,2,"(2, 3)",-0.5260166193038638,3.0732318168145127,-16.90834541380753,0.5260166193038638,-27.38411372793921
11,90,2,"(2, 10)",-0.020295685346708725,0.8568871125679363,-1.8017704987346006,0.020295685346708725,-4.677875121052914
12,90,2,"(2, 30)",0.19369459223943197,1.6972554316568185,-11.948470123301636,0.19369459223943197,-13.543503175421204
13,90,2,"(3, 10)",-0.050134072956358855,0.616567912865351,-1.3668330618648652,0.050134072956358855,-2.7477821816414614
14,90,2,"(3, 30)",0.11411414381046875,1.0378316513316022,-6.853768375968809,0.11411414381046875,-7.324602808077519
15,90,2,"(2, 3, 10)",-0.09615681397660159,0.12471159424581058,-3.0658728256109344,0.09615681397660159,-4.212712617601376
16,90,2,"(2, 3, 30)",-0.07748324704913734,0.9480686194835812,-9.550207602919532,0.07748324704913734,-14.065755051672038
17,90,2,"(2, 10, 30)",-0.23034840312504712,0.3596325314050064,-1.5517438315025096,0.23034840312504712,-2.516455462961962
18,90,2,"(3, 10, 30)",-0.20768438330356587,0.3067271924345857,-1.1817673257249126,0.20768438330356587,-1.6049360369139243
19,90,2,"(2, 3, 10, 30)",-0.20104345688149433,0.09057308244276602,-1.7672945839786829,0.20104345688149433,-1.7707962788778182
20,120,2,"(2, 3)",-0.42965913037056414,2.8342666098548888,-15.744020372543815,0.42965913037056414,-27.114209059818194
21,120,2,"(2, 10)",0.0006223326526047512,0.8651069303217043,-1.8310288483606234,0.0006223326526047512,-5.008429778461462
22,120,2,"(2, 30)",0.19408019908943364,1.7020732190699561,-10.391256035010262,0.19408019908943364,-12.932813490978981
23,120,2,"(3, 10)",-0.024071257753132735,0.6487640239022001,-1.379515313339602,0.024071257753132735,-2.781501734308387
24,120,2,"(3, 30)",0.12156023260647003,1.057634460884534,-6.2712271796110866,0.12156023260647003,-7.049184348134357
25,120,2,"(2, 3, 10)",-0.06583230108545379,0.15095352302807363,-2.8343043369149568,0.06583230108545379,-3.970099605055986
26,120,2,"(2, 3, 30)",-0.04372313525284499,0.8806757556976693,-8.711215952556623,0.04372313525284499,-14.100444624754546
27,120,2,"(2, 10, 30)",-0.2058414269273039,0.3432812717572731,-1.4809591491295038,0.2058414269273039,-2.5704086916941344
28,120,2,"(3, 10, 30)",-0.18760218836267425,0.3053367227704532,-1.1527354670918672,0.18760218836267425,-1.4915342673077803
29,120,2,"(2, 3, 10, 30)",-0.17929849522170038,0.1324074696072125,-1.2389423718163899,0.17929849522170038,-1.7785630965785684
30,150,2,"(2, 3)",-0.5128535222988329,2.6878815798920592,-15.643910447032749,0.5128535222988329,-26.934745916588973
31,150,2,"(2, 10)",-0.0032602459462668376,0.8636350530653923,-1.9532703670326743,0.0032602459462668376,-5.305256402277732
32,150,2,"(2, 30)",0.1472480618754246,1.6458563445060972,-9.547022241370403,0.1472480618754246,-12.221850237148647
33,150,2,"(3, 10)",-0.03554473867454622,0.6351677263757418,-1.3752883486779746,0.03554473867454622,-2.95690307060472
34,150,2,"(3, 30)",0.06608092597233534,0.9814169469703302,-5.9536462185227785,0.06608092597233534,-7.289604080160312
35,150,2,"(2, 3, 10)",-0.08395389898016548,0.18994165072991398,-2.751372047821863,0.08395389898016548,-3.8631987133411623
36,150,2,"(2, 3, 30)",-0.11349886657511021,0.8345034301084295,-8.461270153328075,0.11349886657511021,-13.50371183978248
37,150,2,"(2, 10, 30)",-0.19406462900016197,0.36489158292506363,-1.4767127769536579,0.19406462900016197,-2.586697919086687
38,150,2,"(3, 10, 30)",-0.18207376902688271,0.3153451745329849,-1.1430517733742707,0.18207376902688271,-1.493197444851225
39,150,2,"(2, 3, 10, 30)",-0.18192386170681252,0.17643861389900162,-1.0598630409342562,0.18192386170681252,-1.7962269211958541
40,180,2,"(2, 3)",-0.4573654773805438,2.5325892698875223,-13.936453125887024,0.4573654773805438,-26.911379638030443
41,180,2,"(2, 10)",-0.01311991969244819,0.8539942073732548,-2.121347616276692,0.01311991969244819,-5.468583527840125
42,180,2,"(2, 30)",0.14097044212581356,1.6442980987661473,-7.323630623139548,0.14097044212581356,-11.044668237259478
43,180,2,"(3, 10)",-0.04363427559637861,0.6271077762342845,-1.3719785972840393,0.04363427559637861,-3.162180774270314
44,180,2,"(3, 30)",0.05962845007702361,0.9965155130536116,-5.241091000495624,0.05962845007702361,-7.154148702254135
45,180,2,"(2, 3, 10)",-0.08646409759563634,0.17705463869338578,-2.6304997246167696,0.08646409759563634,-3.7440395024279383
46,180,2,"(2, 3, 30)",-0.0936695132696016,0.7987049878063003,-7.857004711961758,0.0936695132696016,-12.786068482241317
47,180,2,"(2, 10, 30)",-0.18968122862339332,0.3953155344161976,-1.5395553199744132,0.18968122862339332,-2.6813302707414404
48,180,2,"(3, 10, 30)",-0.17747465425964615,0.3300558771920703,-1.1578223721823164,0.17747465425964615,-1.474135501625402
49,180,2,"(2, 3, 10, 30)",-0.17354393164810494,0.17720078114380394,-1.057748387621126,0.17354393164810494,-1.8947854969050633
50,210,2,"(2, 3)",-0.3826253300700393,2.111675644837683,-12.55844737642434,0.3826253300700393,-26.82539499980014
51,210,2,"(2, 10)",-0.04081618719691543,0.8177545938595598,-2.401411393373018,0.04081618719691543,-5.704831518781272
52,210,2,"(2, 30)",0.06021414108784806,1.5566138974367327,-4.338757194797196,0.06021414108784806,-11.748394938820672
